"","Herb","InvMob","Omnivr","Plktiv","FisCep","InvSes","Distance_to_centroid","NMDS1","NMDS2","breeding_biomass_kgha_side"
"Herb",1,0.221252882415923,-0.0293404963702759,-0.296161174172265,-0.135674812446612,-0.00972454146511826,-0.0503508411943702,-0.325235902529233,0.0629378979760522,-0.195201200647497
"InvMob",0.221252882415923,1,0.34713467060855,-0.097354411945874,0.00306440332575109,-0.0595115100295681,-0.248132586602252,-0.0666308770593785,-0.557412670045687,0.0543911690013912
"Omnivr",-0.0293404963702759,0.34713467060855,1,-0.124533578911622,0.25048673951551,-0.139044128944959,-0.114076614090831,0.0423128924370781,-0.50018982725543,-0.308874759283544
"Plktiv",-0.296161174172265,-0.097354411945874,-0.124533578911622,1,0.211596123454166,0.214085737994263,0.589700055354582,0.664314464332116,-0.258537026426868,0.171193673448495
"FisCep",-0.135674812446612,0.00306440332575109,0.25048673951551,0.211596123454166,1,0.168146160457274,0.21605040154501,0.53400098050554,0.130671460652062,-0.0462505007962982
"InvSes",-0.00972454146511826,-0.0595115100295681,-0.139044128944959,0.214085737994263,0.168146160457274,1,0.097013940140164,0.295416404301349,-0.201766207523007,-0.225374141362681
"Distance_to_centroid",-0.0503508411943702,-0.248132586602252,-0.114076614090831,0.589700055354582,0.21605040154501,0.097013940140164,1,0.11473435195152,-0.0176911157948614,0.188288599041538
"NMDS1",-0.325235902529233,-0.0666308770593785,0.0423128924370781,0.664314464332116,0.53400098050554,0.295416404301349,0.11473435195152,1,-3.79886315580133e-17,-0.175504259816186
"NMDS2",0.0629378979760522,-0.557412670045687,-0.50018982725543,-0.258537026426868,0.130671460652062,-0.201766207523007,-0.0176911157948614,-3.79886315580133e-17,1,0.102967521137325
"breeding_biomass_kgha_side",-0.195201200647497,0.0543911690013912,-0.308874759283544,0.171193673448495,-0.0462505007962982,-0.225374141362681,0.188288599041538,-0.175504259816186,0.102967521137325,1
