"","n15","c13","n.percent","c.percent","breeding_biomass_kgha_side","N.15_at_10m","N.15_at_20m","N.15_at_30m","N.15_at_40m"
"n15",1,-0.0702002240220178,0.176259545042126,0.16708192827279,0.164833259545328,0.310492539832032,0.270656492894511,0.31246780786014,0.422151348054233
"c13",-0.0702002240220178,1,0.143466980429491,-0.123702330238628,0.0377566134239686,-0.0576942024542871,-0.0623023517429687,-0.0916404498412014,-0.051784634966364
"n.percent",0.176259545042126,0.143466980429491,1,0.593178623621305,-0.0205619082151159,0.0549597016823994,0.0909529213224246,0.107706069430692,-0.0381372017804346
"c.percent",0.16708192827279,-0.123702330238628,0.593178623621305,1,0.209842855080478,0.364715471583903,0.430152917651337,0.452898044817847,0.315559898765136
"breeding_biomass_kgha_side",0.164833259545328,0.0377566134239686,-0.0205619082151159,0.209842855080478,1,0.891145700422145,0.872089477132787,0.791219679925571,0.866920520046906
"N.15_at_10m",0.310492539832032,-0.0576942024542871,0.0549597016823994,0.364715471583903,0.891145700422145,1,0.990767065179517,0.978126925054778,0.983348227929172
"N.15_at_20m",0.270656492894511,-0.0623023517429687,0.0909529213224246,0.430152917651337,0.872089477132787,0.990767065179517,1,0.987848840656894,0.965919904118563
"N.15_at_30m",0.31246780786014,-0.0916404498412014,0.107706069430692,0.452898044817847,0.791219679925571,0.978126925054778,0.987848840656894,1,0.992701936145408
"N.15_at_40m",0.422151348054233,-0.051784634966364,-0.0381372017804346,0.315559898765136,0.866920520046906,0.983348227929172,0.965919904118563,0.992701936145408,1
