"","motu","site.name","wind.exposure","rat.eradication.status","transect","Herb","InvMob","Omnivr","Plktiv","FisCep","InvSes","Distance_to_centroid","NMDS1","NMDS2"
"1","aie","A1","leeward","None","1",151.36360972,84.774071624,0.886266667,0.202929881,0,0,0.225847769219484,-0.452067483123004,0.0287772308929967
"2","aie","A1","leeward","None","2",103.871707119,61.483883012,17.473711606,54.11937877,141.275971087,15.882525758,0.242535341505451,0.308871616629435,-0.0843669572015182
"3","aie","A1","leeward","None","3",338.981876347,307.189504118,58.900930297,5.748057179,1.012492716,0,0.123434295472133,-0.107186989372066,-0.174492235720413
"4","aie","A1","leeward","None","4",271.507865594,103.033466202,148.374550037,0.681312267,10.80436454,0,0.111249679458964,-0.0428891868463346,-0.0398359344560946
"5","aie","A2","windward","None","1",247.898079891,74.923917877,18.225043804,0.003731667,6.044460647,12.229220212,0.113621504800018,0.0543323459805448,0.0887615600478994
"6","aie","A2","windward","None","2",223.523277183,41.629438404,5.575530107,0,77.79095367,6.612659762,0.12511161720578,0.155209355903053,0.148121573209037
"7","aie","A2","windward","None","3",54.989329041,38.165025374,18.69292729,0,10.528326222,0,0.106411031752544,-0.105876226149358,0.159679074735563
"8","aie","A2","windward","None","4",69.625449594,96.191233291,10.93727143,27.659535102,26.99903233,0,0.160928861842175,0.180434029596446,-0.128121570196171
"9","reiono","Re1","leeward","eradicated_2018","1",145.276068284,11.403911638,12.381927892,0,18.59827604,0,0.079714474135852,-0.0469095427906155,0.21923600074676
"10","reiono","Re1","leeward","eradicated_2018","2",253.108936647,59.293213416,40.172361007,0.202219468,15.68431606,0,0.0440335583009439,-0.0687874990983845,0.0475668036743988
"11","reiono","Re1","leeward","eradicated_2018","3",411.19015467,76.73977795,21.49271206,0,92.34875229,0,0.104723584334242,-0.0137758232147864,0.0800966334137201
"12","reiono","Re1","leeward","eradicated_2018","4",220.328877651,4.088797732,49.634184578,0,12.384869185,0,0.092255427908973,-0.0177245279261022,0.246487687608908
"13","reiono","Re2","windward","eradicated_2018","1",184.967747472,2.717765671,4.087580451,59.61964746,9.438686407,8.036970582,0.269223146022925,0.482090288410243,0.010375098503767
"14","reiono","Re2","windward","eradicated_2018","2",860.922753748,18.337023025,8.990354994,0.055370563,0,0,0.222981503541779,-0.331691978936573,0.17495041437884
"15","reiono","Re2","windward","eradicated_2018","3",97.302632944,33.678443465,272.982648127,2.725832408,0,0,0.183978734951496,-0.248371050807672,-0.205925587426146
"16","reiono","Re2","windward","eradicated_2018","4",167.483332431,25.410778702,123.963405869,10.979515358,21.59255512,0.182406706,0.105924555122565,0.0716830563450636,-0.108153312540529
"17","rimatuu","Rm1","leeward","eradicated_2022","1",376.867273955,55.931402663,23.410283511,1.990176564,0,0,0.163091377382541,-0.226359388644407,-0.0483148591191576
"18","rimatuu","Rm1","leeward","eradicated_2022","2",339.370550686,92.239937926,92.542531173,1.066943277,0,29.931193154,0.107224896944296,-0.130201327227339,-0.255796397007608
"19","rimatuu","Rm1","leeward","eradicated_2022","3",475.245784872,36.227833741,27.224090974,1.281112267,9.958693933,10.548,0.064577746331996,0.0639282428049213,0.0318538445691606
"20","rimatuu","Rm1","leeward","eradicated_2022","4",176.449261068,14.095032262,246.988131312,0.115345676,178.58599954,5.441635308,0.201420004652333,0.229194581018789,0.152194689885824
"21","rimatuu","Rm2","windward","eradicated_2022","1",278.861735705,120.296599608,48.800756824,1.326784376,12.81443946,0,0.0922357208275253,-0.0430904858725343,-0.0217893845207804
"22","rimatuu","Rm2","windward","eradicated_2022","2",238.254472914,150.83175911,23.044614666,0,64.64617792,13.225319524,0.123547005331704,0.124043591371095,0.0716962802641687
"23","rimatuu","Rm2","windward","eradicated_2022","3",106.056815546,130.721138573,281.017972497,14.173780513,39.56823354,1.562666667,0.0950068383139553,0.1205049511021,-0.183465310556763
"24","rimatuu","Rm2","windward","eradicated_2022","4",556.469626926,316.567796571,330.192894735,4.962286815,69.794108202,0,0.0887154518641297,0.0446394508474853,-0.209535343185864
