"","motu","site.name","wind.exposure","rat.eradication.status","transect","observed","shannon","evenness","sum_dens","PD","SR","Distance_to_centroid","NMDS1","NMDS2","NMDS3","rel_bio_TL1","rel_bio_TL2","rel_bio_TL3","rel_bio_TL4","rel_bio_TL5"
"1","aie","A1","leeward","None","1",14,2.22513988826351,0.84315708616603,2466.66666699,936.463344,14,0.335882037161165,-0.184644698095501,0.11054926122422,-0.568468458990773,0.277675372897623,0.36484865812045,0.265329504339115,0.0921464646428126,0
"2","aie","A1","leeward","None","2",17,2.33518310584673,0.824217177554137,4833.333334,1212.023612,17,0.296302887218019,-0.541425318049141,0.0482487039419078,0.193385584999576,0.0596444646046249,0.288996833603142,0.0916486633475839,0.225188638540662,0.334521399903987
"3","aie","A1","leeward","None","3",24,2.19492087487766,0.690649369723655,12400.00000207,1396.904097,24,0.242424397114712,-0.160824107264322,0.365397072106614,-0.0723782705249896,0.257670436728238,0.302477102127981,0.245685169134486,0.192744917780793,0.00142237422850288
"4","aie","A1","leeward","None","4",25,2.65167230064961,0.823788317698831,6266.66666758,1429.037572,25,0.255171422474643,-0.121910347543677,0.129071500094967,0.112221851848804,0.514132648174194,0.272794120058332,0.0761794940392841,0.13689373772819,0
"5","aie","A2","windward","None","1",18,2.46423482518812,0.852566739367041,4133.33333369,1177.863654,18,0.305590154552295,-0.320765932548036,-0.428967166679877,0.173859849751158,0.328375294790872,0.420821365129687,0.208523657907137,0.0422796821723038,0
"6","aie","A2","windward","None","2",18,2.50167461215037,0.86552001669546,2966.66666694,1205.278095,18,0.27779315520477,-0.537514794849219,-0.144103711708832,0.118695963660286,0.21519255770259,0.468033234607734,0.0109666062503793,0.0867595164225136,0.219048085016782
"7","aie","A2","windward","None","3",14,1.64533681632426,0.623456261393205,4033.33333391,930.933719,14,0.326708391191843,0.0329587026295909,-0.261618719872144,0.363568532327641,0.168349312391482,0.433749893317496,0.0354849327211547,0.318289361040275,0.0441265005295928
"8","aie","A2","windward","None","4",18,1.89748852694745,0.656485976851847,5366.66666746,1129.71303,18,0.306770559954119,-0.427968082540703,0.159413408295532,-0.0148021872140953,0.246795941307962,0.177070668932076,0.0541296617980543,0.405333151425355,0.116670576536553
"9","reiono","Re1","leeward","eradicated_2018","1",10,1.90591345783292,0.827727697721983,5633.33333369,703.907442,10,0.33998449821518,0.0816301883213202,-0.482460351248751,-0.222504215412917,0.225313932032038,0.614810983856663,0.0607689463145377,0,0.0991061377967608
"10","reiono","Re1","leeward","eradicated_2018","2",17,2.45846722997991,0.867731064142244,5033.33333391,1018.348161,17,0.332519429442012,-0.0295494380603282,0.41589739557203,-0.258813650088359,0.457701797718108,0.338809854820831,0.10960190824204,0.093886439219021,0
"11","reiono","Re1","leeward","eradicated_2018","3",14,1.91080256980496,0.724047389331831,7733.33333447,871.894398,14,0.245264836020973,0.286938100981944,-0.162033804172467,0.151734174375384,0.42831683333206,0.290698508554605,0.0605461156735842,0.0669770240708355,0.153461518368916
"12","reiono","Re1","leeward","eradicated_2018","4",15,2.16224413501825,0.798450536159997,5266.66666738,819.722099,15,0.138195623859944,0.0791501239544892,-0.0996666383279416,-0.0286317589674876,0.796416872878489,0.153705259085538,0.00664015469549136,0.0432377133404819,0
"13","reiono","Re2","windward","eradicated_2018","1",13,1.91473093663656,0.746498534587645,2833.3333337,988.691395,13,0.378060244752244,-0.45589587710654,-0.269520993911773,-0.360609091875565,0.252357191897088,0.480686557162179,0.0100647039395356,0.256891547001197,0
"14","reiono","Re2","windward","eradicated_2018","2",16,2.20798916004022,0.796363752881654,5900.00000057,920.856842,16,0.291353299230424,0.019759258237178,0.0281287314494951,-0.306852066881246,0.719390273829016,0.259934564983953,0.0206751611870318,0,0
"15","reiono","Re2","windward","eradicated_2018","3",16,2.12617968053982,0.766857220288418,5466.66666744,1041.737832,16,0.294057719340438,-0.0914314484786074,0.288952283851789,0.374383085818717,0.870018999921655,0.0608209845560553,0.0327992664754772,0.0363607490468122,0
"16","reiono","Re2","windward","eradicated_2018","4",21,2.11212449537869,0.693745747841508,8500.00000115,1303.953279,21,0.218853410798102,-0.078057370803855,0.359906012110257,0.177510711420499,0.629684644934918,0.247511675460319,0.0258867629844103,0.0351554339507617,0.0617614826695916
"17","rimatuu","Rm1","leeward","eradicated_2022","1",16,2.1641812451773,0.780563387500549,6100.00000073,915.518043,16,0.258089919694688,0.165127303346567,0.0812867851418365,-0.283278461864798,0.577431688360582,0.300500419790737,0.0623523939355263,0.0597154979131544,0
"18","rimatuu","Rm1","leeward","eradicated_2022","2",22,2.49747096729284,0.807970451709395,7266.66666763,1337.756844,22,0.295241712735925,0.437696419107465,0.348027251012175,0.13376495700657,0.657082491724236,0.12284928052904,0.141527359603355,0.0785408681433695,0
"19","rimatuu","Rm1","leeward","eradicated_2022","3",20,2.09950940857544,0.700833458019492,7500.000001,999.952149,20,0.231752904873205,0.309853179566748,0.139844818898254,-0.0186352026463196,0.620363391747553,0.285572799051291,0.0762958318806066,0,0.0177679773205497
"20","rimatuu","Rm1","leeward","eradicated_2022","4",21,2.21470982637604,0.727440796275463,8533.33333456,1084.829207,21,0.342755020559989,-0.0432556647837047,-0.314069917002414,0.0741961227497231,0.483252095980506,0.206624042152191,0.0222578626321966,0.000600332850388934,0.287265666384717
"21","rimatuu","Rm2","windward","eradicated_2022","1",20,2.65697243130212,0.886919186590067,4366.66666711,1314.907286,20,0.304114299303605,0.443453546622833,0.0534722636736751,-0.249147300254155,0.470565638441817,0.284750306517185,0.161001200142756,0.0559519942667832,0.0277308606314581
"22","rimatuu","Rm2","windward","eradicated_2022","2",16,1.9101362435865,0.688936021511129,5566.66666737,1017.806933,16,0.344912307053661,0.677785600982714,-0.336734341862064,-0.112717024981596,0.454833132063655,0.146320863525079,0.0102105097697896,0.256705150442304,0.131930344199172
"23","rimatuu","Rm2","windward","eradicated_2022","3",21,1.44286587121907,0.473921904250438,12200.00000206,1331.483659,21,0.275847412056416,0.161777068789299,-0.0771265563888536,0.289174571564362,0.58723559968885,0.0933550214013867,0.0432689554549043,0.231389482971274,0.0447509404835854
"24","rimatuu","Rm2","windward","eradicated_2022","4",21,1.62261709655458,0.532962765013454,16966.66666919,1272.975447,21,0.235098700631313,0.297113587583486,0.0481067138023641,0.334342284179582,0.507377452117269,0.190301795430806,0.0529449534611998,0.197568331439926,0.0518074675507991
