"","motu","site.name","wind.exposure","rat.eradication.status","transect","coral_observed","coral_shannon","coral_evenness","Distance_to_centroid","NMDS1","NMDS2","coral_percent_cover","pavement_percent_cover","rubble_percent_cover","sand_percent_cover","other_invert_percent_cover","macroalgae_percent_cover","cyano_percent_cover"
"1","aie","A1","leeward","None","1",1,0,NA,0.0384147685720535,-0.244412551215931,0.126662420076117,8.33,21.67,15,55,0,0,0
"2","aie","A1","leeward","None","2",1,0,NA,0.119096716066304,-0.317414220329128,-0.0639183009722529,16.67,15,18.33,46.67,3.33,0,0
"3","aie","A1","leeward","None","3",2,0.636514168294813,0.91829583405449,0.057885183289374,-0.257519502741787,0.171748507645752,10,18.33,11.67,58.33,0,1.67,0
"4","aie","A1","leeward","None","4",2,0.500402423538188,0.721928094887362,0.0480523441444616,-0.234094778818891,0.159007511210061,8.33,21.67,13.33,56.67,0,0,0
"5","aie","A2","windward","None","1",1,0,NA,0.198475089396909,-0.539732285488824,-0.391766270076986,20,1.67,38.33,40,0,0,0
"6","aie","A2","windward","None","2",1,0,NA,0.110003156520367,-0.263807312359745,-0.181543207959017,15,18.33,26.67,38.33,1.67,0,0
"7","aie","A2","windward","None","3",1,0,NA,0.242419803463147,-0.420848959798951,0.379935298304018,11.67,10,6.67,71.67,0,0,0
"8","aie","A2","windward","None","4",2,0.271189373041844,0.391243563629256,0.161428088565088,0.0155520126661281,-0.065352592407508,21.67,30,6.67,40,1.67,0,0
"9","reiono","Re1","leeward","eradicated_2018","1",1,0,NA,0.163830027094479,0.521277916918398,-0.0813665078656068,11.67,53.33,6.67,20,0,8.33,0
"10","reiono","Re1","leeward","eradicated_2018","2",1,0,NA,0.0517069735249618,0.301215269753641,0.216248548321581,3.33,46.67,3.33,40,0,6.67,0
"11","reiono","Re1","leeward","eradicated_2018","3",1,0,NA,0.127611606925946,0.183002366649743,0.306798764429437,5,41.67,0,48.33,0,5,0
"12","reiono","Re1","leeward","eradicated_2018","4",1,0,NA,0.0843685697138193,0.433474037280725,0.196424155456855,5,43.33,3.33,31.67,0,16.67,0
"13","reiono","Re2","windward","eradicated_2018","1",1,0,NA,0.106311256851442,-0.34106421094681,0.166691561376094,3.33,20,18.33,56.67,1.67,0,0
"14","reiono","Re2","windward","eradicated_2018","2",2,0.450561208866305,0.650022421648354,0.126861144563653,0.060610652270138,0.190722660338591,10,36.67,5,48.33,0,0,0
"15","reiono","Re2","windward","eradicated_2018","3",1,0,NA,0.0780624749799797,-0.283697863351542,0.0875665113370494,8.33,20,20,51.67,0,0,0
"16","reiono","Re2","windward","eradicated_2018","4",2,0.693147180559945,1,0.0892678553567855,-0.0150503649755833,0.249261499936119,3.33,30,8.33,51.67,0,6.67,0
"17","rimatuu","Rm1","leeward","eradicated_2022","1",2,0.562335144618808,0.811278124459133,0.1567353572817,0.0525204842973649,0.0425955400277622,13.33,31.67,6.67,43.33,0,5,0
"18","rimatuu","Rm1","leeward","eradicated_2022","2",1,0,NA,0.231203073316751,0.016623448274265,-0.697251279692839,16.67,30,36.67,8.33,3.33,5,0
"19","rimatuu","Rm1","leeward","eradicated_2022","3",3,0.566085738959629,0.515273445235094,0.115093560974443,-0.00217249080621465,-0.343232324171005,20,23.33,21.67,26.67,0,8.33,0
"20","rimatuu","Rm1","leeward","eradicated_2022","4",1,0,NA,0.119823365371237,-0.0278045387234332,-0.0539950234228593,18.33,26.67,10,41.67,0,3.33,0
"21","rimatuu","Rm2","windward","eradicated_2022","1",3,0.380506218477596,0.346351686033749,0.242706097986845,0.15919338027475,-0.403227515483559,35,21.67,10,25,0,8.33,0
"22","rimatuu","Rm2","windward","eradicated_2022","2",3,1.01140426470735,0.920619835714305,0.120257247413848,0.523304344580943,0.00132885787388712,10,55,3.33,25,0,5,1.67
"23","rimatuu","Rm2","windward","eradicated_2022","3",2,0.562335144618808,0.811278124459133,0.14025027233089,0.226992230182987,0.0871834856852421,13.33,45,5,36.67,0,0,0
"24","rimatuu","Rm2","windward","eradicated_2022","4",2,0.410116318288409,0.591672778582327,0.0796040548939282,0.453852936407757,-0.100522299966933,11.67,50,10,21.67,0,5,1.67
