"","var1","var2","cor","statistic","p","conf.low","conf.high","method"
"1","br_bio_200m","br_bio_200m",1,Inf,0,1,1,"Pearson"
"2","br_bio_200m","br_dens_200m",0.84,3.15976326756746,0.0342,0.106283506635734,0.982669230684961,"Pearson"
"3","br_bio_200m","a_bio_200m",1,29.4081754085873,7.96e-06,0.97806264990637,0.999760030389349,"Pearson"
"4","br_bio_200m","a_dens_200m",0.98,9.02269864308236,0.000836,0.793281049932558,0.99750853486286,"Pearson"
"5","br_dens_200m","br_bio_200m",0.84,3.15976326756746,0.0342,0.106283506635734,0.982669230684961,"Pearson"
"6","br_dens_200m","br_dens_200m",1,94906265.6242515,7.4e-32,0.999999999999998,1,"Pearson"
"7","br_dens_200m","a_bio_200m",0.82,2.85927447112404,0.046,0.0234983808587636,0.979564293394565,"Pearson"
"8","br_dens_200m","a_dens_200m",0.94,5.4780171951613,0.00541,0.53771027323426,0.993515245674758,"Pearson"
"9","a_bio_200m","br_bio_200m",1,29.4081754085873,7.96e-06,0.97806264990637,0.999760030389349,"Pearson"
"10","a_bio_200m","br_dens_200m",0.82,2.85927447112404,0.046,0.0234983808587636,0.979564293394565,"Pearson"
"11","a_bio_200m","a_bio_200m",1,Inf,0,1,1,"Pearson"
"12","a_bio_200m","a_dens_200m",0.97,7.4998166502384,0.00169,0.716597321883608,0.996433644443967,"Pearson"
"13","a_dens_200m","br_bio_200m",0.98,9.02269864308236,0.000836,0.793281049932558,0.99750853486286,"Pearson"
"14","a_dens_200m","br_dens_200m",0.94,5.4780171951613,0.00541,0.53771027323426,0.993515245674758,"Pearson"
"15","a_dens_200m","a_bio_200m",0.97,7.4998166502384,0.00169,0.716597321883608,0.996433644443967,"Pearson"
"16","a_dens_200m","a_dens_200m",1,Inf,0,1,1,"Pearson"
